Maria Madalena Dos Santos;13456787643;29/01/1960;9000;
João das Couves de Jesus;16587509823;13/02/1967;1500;
Sérgio Moreira Gusmão;12893456892;17/03/1970;3300;
Ana Bulinha da Silva;16598762908;24/04/1977;4300;
Raquel das Neves;13460098743;11/04/1990;9000;
Jorge da Silva Campos;15687469321;16/05/1995;1384;
José Gabrich Volpato;17896547832;09/06/1988;6500;
Marcos Flanela Calabria;14536987456;05/07/1985;2630;
Marcela Eduarda de Paiva;15789643214;02/07/1983;438;
Geraldo Severo Potter;16485963214;27/08/1997;4300;
